Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.11     0.00      477     0.00     0.00  timing_driven_route_net
  0.00      6.11     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      6.11     0.00      477     0.00     0.00  update_route_tree
  0.00      6.11     0.00      477     0.00     0.00  update_rr_base_costs
  0.00      6.11     0.00      477     0.00     0.00  update_traceback
  0.00      6.11     0.00      477     0.00     0.00  update_unbuffered_ancestors_C_downstream
  0.00      6.11     0.00      440     0.00     0.00  label_incoming_wires
  0.00      6.11     0.00      437     0.00     0.00  alloc_matrix
  0.00      6.11     0.00      431     0.00     0.00  ezxml_char_content
  0.00      6.11     0.00      430     0.00     0.00  free_matrix
  0.00      6.11     0.00      414     0.00     0.00  get_type_by_name
  0.00      6.11     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      6.11     0.00      226     0.00     0.00  CountTokensInString
  0.00      6.11     0.00      223     0.00     0.00  ezxml_set_flag
  0.00      6.11     0.00      222     0.00     0.00  FreeNode
  0.00      6.11     0.00      222     0.00     0.00  ezxml_close_tag
  0.00      6.11     0.00      222     0.00     0.00  ezxml_cut
  0.00      6.11     0.00      222     0.00     0.00  ezxml_free
  0.00      6.11     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      6.11     0.00      222     0.00     0.00  ezxml_open_tag
  0.00      6.11     0.00      221     0.00     0.00  CheckElement
  0.00      6.11     0.00      221     0.00     0.00  ezxml_add_child
  0.00      6.11     0.00      221     0.00     0.00  ezxml_insert
  0.00      6.11     0.00      220     0.00     0.00  rr_node_is_global_clb_ipin
  0.00      6.11     0.00      183     0.00     0.00  FindProperty
  0.00      6.11     0.00      183     0.00     0.00  ezxml_attr
  0.00      6.11     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      6.11     0.00      173     0.00     0.00  GetNodeTokens
  0.00      6.11     0.00      171     0.00     0.00  my_calloc
  0.00      6.11     0.00      144     0.00     0.00  build_rr_sinks_sources
  0.00      6.11     0.00      144     0.00     0.00  build_unidir_rr_opins
  0.00      6.11     0.00      139     0.00     0.00  comp_td_costs
  0.00      6.11     0.00      139     0.00     0.00  get_next_hash
  0.00      6.11     0.00      138     0.00     0.00  build_fb_tnodes
  0.00      6.11     0.00      138     0.00     0.00  build_subblock_tnodes
  0.00      6.11     0.00      138     0.00     0.00  check_fb_conn
  0.00      6.11     0.00      138     0.00     0.00  check_fb_to_subblock_connections
  0.00      6.11     0.00      138     0.00     0.00  check_internal_subblock_connections
  0.00      6.11     0.00      138     0.00     0.00  check_subblocks
  0.00      6.11     0.00      138     0.00     0.00  get_num_conn
  0.00      6.11     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      6.11     0.00      124     0.00     0.00  compute_net_slacks
  0.00      6.11     0.00      124     0.00     0.00  load_timing_graph_net_delays
  0.00      6.11     0.00      123     0.00     0.00  get_std_dev
  0.00      6.11     0.00      123     0.00     0.00  load_criticalities
  0.00      6.11     0.00      123     0.00     0.00  update_screen
  0.00      6.11     0.00      122     0.00     0.00  exit_crit
  0.00      6.11     0.00      121     0.00     0.00  load_sblock_pattern_lookup
  0.00      6.11     0.00      121     0.00     0.00  update_rlim
  0.00      6.11     0.00      121     0.00     0.00  update_t
  0.00      6.11     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      6.11     0.00       56     0.00     0.00  find_type_col
  0.00      6.11     0.00       43     0.00     0.00  ezxml_child
  0.00      6.11     0.00       41     0.00     0.00  FindElement
  0.00      6.11     0.00       36     0.00     0.00  comp_width
  0.00      6.11     0.00       33     0.00     0.00  is_global_clock
  0.00      6.11     0.00        7     0.00     0.00  CountChildren
  0.00      6.11     0.00        6     0.00     0.00  CheckGrid
  0.00      6.11     0.00        6     0.00     0.00  ParseFc
  0.00      6.11     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      6.11     0.00        6     0.00     0.00  insert_in_vptr_list
  0.00      6.11     0.00        5     0.00     0.00  alloc_matrix3
  0.00      6.11     0.00        5     0.00     0.00  freeGrid
  0.00      6.11     0.00        5     0.00     0.00  my_realloc
  0.00      6.11     0.00        4     0.00     0.00  free_chunk_memory
  0.00      6.11     0.00        4     0.00     0.00  free_matrix3
  0.00      6.11     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      6.11     0.00        3     0.00     0.00  ProcessOption
  0.00      6.11     0.00        3     0.00     0.00  Process_Fc
  0.00      6.11     0.00        3     0.00     0.00  ReadBaseToken
  0.00      6.11     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      6.11     0.00        3     0.00     0.00  alloc_and_load_track_to_pin_lookup
  0.00      6.11     0.00        3     0.00     0.00  free_ivec_vector
  0.00      6.11     0.00        3     0.00     0.00  free_matrix4
  0.00      6.11     0.00        3     0.00     0.01  generic_compute_matrix
  0.00      6.11     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      6.11     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      6.11     0.00        2     0.00     0.00  ProcessSubblocks
  0.00      6.11     0.00        2     0.00     0.00  ProcessTypeProps
  0.00      6.11     0.00        2     0.00     0.00  SetupClassInf
  0.00      6.11     0.00        2     0.00     0.00  SetupGridLocations
  0.00      6.11     0.00        2     0.00     0.00  SetupPinClasses
  0.00      6.11     0.00        2     0.00     0.00  SetupPinLocations
  0.00      6.11     0.00        2     0.00     0.00  SetupSubblocksTSeq
  0.00      6.11     0.00        2     0.00     0.00  SetupSubblocksTcomb
  0.00      6.11     0.00        2     0.00     0.00  SetupTypeTiming
  0.00      6.11     0.00        2     0.00     0.00  alloc_and_load_actual_fc
  0.00      6.11     0.00        2     0.00     0.00  alloc_hash_table
  0.00      6.11     0.00        2     0.00     0.00  alloc_matrix4
  0.00      6.11     0.00        2     0.00     0.00  check_all_tracks_reach_pins
  0.00      6.11     0.00        2     0.00     0.01  comp_bb_cost
  0.00      6.11     0.00        2     0.00     0.00  free_hash_table
  0.00      6.11     0.00        2     0.00     0.00  free_rr_graph
  0.00      6.11     0.00        2     0.00     0.00  init_chan
  0.00      6.11     0.00        2     0.00     0.00  load_chan_rr_indices
  0.00      6.11     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      6.11     0.00        2     0.00     0.00  load_uniform_switch_pattern
  0.00      6.11     0.00        2     0.00     0.00  my_fopen
  0.00      6.11     0.00        1     0.00     0.00  CheckArch
  0.00      6.11     0.00        1     0.00     0.00  CheckOptions
  0.00      6.11     0.00        1     0.00     0.00  CheckSegments
  0.00      6.11     0.00        1     0.00     0.00  CheckSetup
  0.00      6.11     0.00        1     0.00     0.00  CheckSwitches
  0.00      6.11     0.00        1     0.00     0.00  InitArch
  0.00      6.11     0.00        1     0.00     0.00  IsTimingEnabled
  0.00      6.11     0.00        1     0.00     0.00  PrintTitle
  0.00      6.11     0.00        1     0.00     0.00  ProcessChanWidthDistr
  0.00      6.11     0.00        1     0.00     0.00  ProcessDevice
  0.00      6.11     0.00        1     0.00     0.00  ProcessIO
  0.00      6.11     0.00        1     0.00     0.00  ProcessLayout
  0.00      6.11     0.00        1     0.00     0.00  ProcessSegments
  0.00      6.11     0.00        1     0.00     0.00  ProcessSwitches
  0.00      6.11     0.00        1     0.00     0.00  ProcessTypes
  0.00      6.11     0.00        1     0.00     0.00  ReadInt
  0.00      6.11     0.00        1     0.00     0.00  ReadOptions
  0.00      6.11     0.00        1     0.00     0.00  SetupAnnealSched
  0.00      6.11     0.00        1     0.00     0.00  SetupEmptyType
  0.00      6.11     0.00        1     0.00     0.00  SetupOperation
  0.00      6.11     0.00        1     0.00     0.00  SetupPlacerOpts
  0.00      6.11     0.00        1     0.00     0.00  SetupRouterOpts
  0.00      6.11     0.00        1     0.00     0.00  SetupRoutingArch
  0.00      6.11     0.00        1     0.00     0.00  SetupSwitches
  0.00      6.11     0.00        1     0.00     0.00  SetupTiming
  0.00      6.11     0.00        1     0.00     0.02  SetupVPR
  0.00      6.11     0.00        1     0.00     0.00  ShowAnnealSched
  0.00      6.11     0.00        1     0.00     0.00  ShowOperation
  0.00      6.11     0.00        1     0.00     0.00  ShowPlacerOpts
  0.00      6.11     0.00        1     0.00     0.00  ShowRoutingArch
  0.00      6.11     0.00        1     0.00     0.00  ShowSetup
  0.00      6.11     0.00        1     0.00     0.00  XmlReadArch
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_assign_internal_structures
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_clb_opins_used_locally
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_fanout_counts
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_for_fast_cost_update
